"outcome","predictor","x_value","yhat"
"drift","NA_state","2.5",0.391652884121023
"drift","NA_state","2.66666666666667",0.391825275678216
"drift","NA_state","2.83333333333333",0.391825275678216
"drift","NA_state","3",0.391825275678216
"drift","NA_state","3.16666666666667",0.391670182566168
"drift","NA_state","3.33333333333333",0.391670182566168
"drift","NA_state","3.5",0.391670182566168
"drift","NA_state","3.66666666666667",0.383937370699977
"drift","NA_state","3.83333333333333",0.383937370699977
"drift","NA_state","4",0.383937370699977
"alcbias","NA_state","0",-0.810798278136368
"alcbias","NA_state","0.166666666666667",-0.810798278136368
"alcbias","NA_state","0.333333333333333",-0.810798278136368
"alcbias","NA_state","0.5",-0.810798278136368
"alcbias","NA_state","0.666666666666667",-0.760896808590587
"alcbias","NA_state","0.833333333333333",-0.760896808590587
"alcbias","NA_state","1",-0.760896808590587
"alcbias","NA_state","1.16666666666667",-0.760156876510164
"alcbias","NA_state","1.33333333333333",-0.760156876510164
"alcbias","NA_state","1.5",-0.760156876510164
"alcbias","NA_state","1.66666666666667",-0.758114604080288
"alcbias","NA_state","1.83333333333333",-0.758114604080288
"alcbias","NA_state","2",-0.758114604080288
"alcbias","NA_state","2.16666666666667",-0.758018890365795
"alcbias","NA_state","2.33333333333333",-0.758018890365795
"alcbias","NA_state","2.5",-0.758018890365795
"alcbias","NA_state","2.66666666666667",-0.723099089897397
"alcbias","NA_state","2.83333333333333",-0.723099089897397
"alcbias","NA_state","3",-0.723099089897397
"alcbias","NA_state","3.16666666666667",-0.723917700068032
"alcbias","NA_state","3.33333333333333",-0.723917700068032
"alcbias","NA_state","3.5",-0.723917700068032
"alcbias","NA_state","3.66666666666667",-0.724849418298915
"alcbias","NA_state","3.83333333333333",-0.724849418298915
"alcbias","NA_state","4",-0.724849418298915
"B","NA_state","0",0.810402819259208
"B","NA_state","0.166666666666667",0.810402819259208
"B","NA_state","0.333333333333333",0.810402819259208
"B","NA_state","0.5",0.810402819259208
"B","NA_state","0.666666666666667",0.809719850284256
"B","NA_state","0.833333333333333",0.809719850284256
"B","NA_state","1",0.809719850284256
"B","NA_state","1.16666666666667",0.809619862911982
"B","NA_state","1.33333333333333",0.809619862911982
"B","NA_state","1.5",0.809619862911982
"B","NA_state","1.66666666666667",0.816571933516803
"B","NA_state","1.83333333333333",0.816571933516803
"B","NA_state","2",0.816571933516803
"B","NA_state","2.16666666666667",0.817079350133943
"B","NA_state","2.33333333333333",0.817079350133943
"B","NA_state","2.5",0.817079350133943
"B","NA_state","2.66666666666667",0.82454655067633
"B","NA_state","2.83333333333333",0.82454655067633
"B","NA_state","3",0.82454655067633
"B","NA_state","3.16666666666667",0.824422793088987
"B","NA_state","3.33333333333333",0.824422793088987
"B","NA_state","3.5",0.824422793088987
"B","NA_state","3.66666666666667",0.822758556934641
"B","NA_state","3.83333333333333",0.822758556934641
"B","NA_state","4",0.822758556934641
"choice_prop","PA_state","0",0.373889146863521
"choice_prop","PA_state","0.166666666666667",0.373889146863521
"choice_prop","PA_state","0.333333333333333",0.373889146863521
"choice_prop","PA_state","0.5",0.373889146863521
"choice_prop","PA_state","0.666666666666667",0.356021242000712
"choice_prop","PA_state","0.833333333333333",0.356021242000712
"choice_prop","PA_state","1",0.356021242000712
"choice_prop","PA_state","1.16666666666667",0.355769800423378
"choice_prop","PA_state","1.33333333333333",0.355769800423378
"choice_prop","PA_state","1.5",0.355769800423378
"choice_prop","PA_state","1.66666666666667",0.351908432010006
"choice_prop","PA_state","1.83333333333333",0.351908432010006
"choice_prop","PA_state","2",0.351908432010006
"choice_prop","PA_state","2.16666666666667",0.351813761505773
"choice_prop","PA_state","2.33333333333333",0.351813761505773
"choice_prop","PA_state","2.5",0.351813761505773
"choice_prop","PA_state","2.66666666666667",0.347239990263448
